-- Logs begin at Thu 2022-09-29 11:40:16 UTC, end at Thu 2022-09-29 13:00:32 UTC. --
Sep 29 12:38:21 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Sep 29 12:38:22 ubuntu dstat.sh[91998]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 29 12:38:22 ubuntu dstat.sh[91998]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 29 12:38:36 ubuntu dstat.sh[91998]: 29-09 12:38:36| 19   6  69   5   0| 917M  750M  139M 5931M|  25k 9953 |   0  6070k|   0   791 |5812  9527 |1.44 1.20 0.80|3.0   0  63|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:37 ubuntu dstat.sh[91998]: 29-09 12:38:37| 22   4  73   0   0| 952M  715M  139M 5931M|3332  1803 |   0     0 |   0     0 |1116  1447 |1.44 1.20 0.80|1.0   0  25|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:38 ubuntu dstat.sh[91998]: 29-09 12:38:38| 23   3  74   0   0| 998M  669M  139M 5931M|3509  1944 |   0     0 |   0     0 | 965  1226 |1.40 1.20 0.80|1.0   0   0|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:39 ubuntu dstat.sh[91998]: 29-09 12:38:39| 26   1  72   1   0| 915M  751M  139M 5931M|  11k 3901 |   0  7221k|   0   384 |1874  2819 |1.40 1.20 0.80|1.0   0  10|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:40 ubuntu dstat.sh[91998]: 29-09 12:38:40| 23   2  72   1   0| 959M  707M  139M 5931M|5059  2016 |   0  7048k|   0   409 |1909  2849 |1.40 1.20 0.80|3.0   0 2.0|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:41 ubuntu dstat.sh[91998]: 29-09 12:38:41| 25   2  71   1   0| 997M  669M  139M 5931M|3755  1845 |   0  7103k|   0   403 |1932  2895 |1.40 1.20 0.80|2.0   0   0|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:42 ubuntu dstat.sh[91998]: 29-09 12:38:42| 22   6  70   1   0| 917M  749M  139M 5931M|3656  1944 |   0  7251k|   0   399 |2414  3741 |1.40 1.20 0.80|4.0   0  71|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:43 ubuntu dstat.sh[91998]: 29-09 12:38:43| 11  19  69   0   0| 917M  748M  139M 5932M|3453  1944 |   0   512k|   0  32.0 |2760  4447 |1.45 1.21 0.81|1.0   0 310|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:44 ubuntu dstat.sh[91998]: 29-09 12:38:44| 10  20  68   0   0| 917M  749M  139M 5932M|4576  1770 |   0   216k|   0  17.0 |2488  3718 |1.45 1.21 0.81|1.0   0 281|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:45 ubuntu dstat.sh[91998]: 29-09 12:38:45| 25  14  61   0   0| 918M  748M  139M 5932M|4794  1944 |   0  4096B|   0  1.00 |2952  6515 |1.45 1.21 0.81|2.0   0  71|   0     0 |   0     0 | 12    4    6    8    0
Sep 29 12:38:46 ubuntu dstat.sh[91998]: 29-09 12:38:46| 40  16  42   0   0| 994M  671M  139M 5932M|3807  2094 | 340k    0 |5.01     0 |2076  3935 |1.45 1.21 0.81|2.0   0 146|   0     0 |   0     0 | 12    5    6    8    0
Sep 29 12:38:47 ubuntu dstat.sh[91998]: 29-09 12:38:47| 45   6  49   0   0|1066M  599M  139M 5933M|4835  1944 |8191B   32k|2.00  1.00 |1096  1293 |1.45 1.21 0.81|  0 2.0   0|   0     0 |   0     0 | 12    5    6    8    0
Sep 29 12:38:48 ubuntu dstat.sh[91998]: 29-09 12:38:48| 47   4  49   0   0|1097M  567M  139M 5933M|2995  1728 | 364k  404k|6.00  39.0 |1100  1134 |1.50 1.23 0.81|2.0   0   0|   0     0 |   0     0 | 12    5    6    8    0
Sep 29 12:38:49 ubuntu dstat.sh[91998]: 29-09 12:38:49| 49   6  44   0   0|1121M  541M  139M 5935M|6395  1875 |   0   612k|   0  3.00 |1341  4056 |1.50 1.23 0.81|2.0   0   0|   0     0 |   0     0 | 12    5    6    8    0
Sep 29 12:38:50 ubuntu dstat.sh[91998]: 29-09 12:38:50| 25  14  60   0   0|1150M  511M  139M 5936M|  15k 2540 |  16k 4724k|4.00   140 |2739  5117 |1.50 1.23 0.81|1.0   0 148|   0     0 |   0     0 | 12    4    6    9    0
Sep 29 12:38:51 ubuntu dstat.sh[91998]: 29-09 12:38:51| 22   3  73   0   0|1197M  464M  139M 5936M|  24k 1728 |   0     0 |   0     0 |1225  1210 |1.50 1.23 0.81|1.0   0   0|   0     0 |   0     0 | 12    4    5    9    0
Sep 29 12:38:52 ubuntu dstat.sh[91998]: 29-09 12:38:52| 23   2  73   0   0|1215M  446M  139M 5936M|7579  1728 |   0     0 |   0     0 | 962  1277 |1.50 1.23 0.81|1.0   0 2.0|   0     0 |   0     0 | 12    4    5    9    0
Sep 29 12:38:53 ubuntu dstat.sh[91998]: 29-09 12:38:53| 23   4  70   1   0|1214M  447M  140M 5936M|  65k   64k|  16k 1606k|2.00   165 |2931  5116 |1.46 1.22 0.81|1.0   0 1.0|   0     0 |   0     0 | 12   10    5    7    0
Sep 29 12:38:54 ubuntu dstat.sh[91998]: 29-09 12:38:54| 23   5  72   1   0|1146M  515M  140M 5936M|4281  2456 |   0  2249k|   0   133 |1653  2450 |1.46 1.22 0.81|1.0   0  44|   0     0 |   0     0 | 12    4    5    9    0
Sep 29 12:38:55 ubuntu dstat.sh[91998]: 29-09 12:38:55| 19   3  74   3   0|1164M  496M  140M 5936M|3475  1726 |  68k 2853k|6.99  38.0 |1078  1319 |1.46 1.22 0.81|  0 1.0   0|   0     0 |   0     0 | 12    4    5    9    0
Sep 29 12:38:56 ubuntu dstat.sh[91998]: 29-09 12:38:56| 22   3  73   3   0|1182M  477M  140M 5936M|  81k   79k| 436k  880k|20.0  17.0 |1718  2627 |1.46 1.22 0.81|2.0   0 2.0|   0     0 |   0     0 | 12   16    5   10    0
Sep 29 12:38:57 ubuntu dstat.sh[91998]: 29-09 12:38:57| 13   2  74  12   0|1189M  470M  140M 5937M|  44k   41k| 552k  492k|51.0  6.00 |1255  1800 |1.46 1.22 0.81|1.0   0 2.0|   0     0 |   0     0 | 12   29    5   10    0
Sep 29 12:38:58 ubuntu dstat.sh[91998]: 29-09 12:38:58| 21   4  73   0   0|1162M  497M  140M 5937M|9757  6753 |   0     0 |   0     0 |1193  1655 |1.42 1.22 0.82|1.0   0  45|   0     0 |   0     0 | 12   28    5   10    0
Sep 29 12:38:59 ubuntu dstat.sh[91998]: 29-09 12:38:59| 23   4  74   0   0|1191M  468M  140M 5937M|  25k   23k|   0   180k|   0  4.00 |1042  1429 |1.42 1.22 0.82|1.0   0   0|   0     0 |   0     0 | 12   28    5   10    0
Sep 29 12:39:00 ubuntu dstat.sh[91998]: 29-09 12:39:00| 24  13  60   1   0|1154M  504M  140M 5937M|  42k   39k|   0  3472k|   0   330 |2446  2893 |1.42 1.22 0.82|2.0   0 202|   0     0 |   0     0 | 12   28    5   10    0
Sep 29 12:39:01 ubuntu dstat.sh[91998]: 29-09 12:39:01| 44   7  50   0   0|1215M  444M  140M 5937M|3336  1987 |   0     0 |   0     0 |1110  1315 |1.42 1.22 0.82|3.0   0 2.0|   0     0 |   0     0 | 12   28    5   10    0
Sep 29 12:39:02 ubuntu dstat.sh[91998]: 29-09 12:39:02| 47   5  48   0   0|1259M  399M  140M 5937M| 129k  127k|   0   104k|   0  3.99 |1809  2895 |1.42 1.22 0.82|4.0   0 3.0|   0     0 |   0     0 | 12   31    5   11    0
Sep 29 12:39:03 ubuntu dstat.sh[91998]: 29-09 12:39:03| 46   7  46   0   0|1263M  395M  140M 5937M| 631k  622k|   0   741k|   0  47.0 |4905  9504 |1.47 1.23 0.82|2.0   0 1.0|   0     0 |   0     0 | 12   33    5   12    0
Sep 29 12:39:04 ubuntu dstat.sh[91998]: 29-09 12:39:04| 53  27  20   0   0|1222M  437M  140M 5937M|  55k   24k|   0    36k|   0  9.01 |2740  4207 |1.47 1.23 0.82|5.0   0 430|   0     0 |   0     0 | 12   32    5   12    0
Sep 29 12:39:05 ubuntu dstat.sh[91998]: 29-09 12:39:05| 86  14   0   0   0|1354M  304M  140M 5937M|  15k   13k|   0   976k|   0  19.0 |1893  2380 |1.47 1.23 0.82|7.0   0 132|   0     0 |   0     0 | 12   33    5   12    0
Sep 29 12:39:06 ubuntu dstat.sh[91998]: 29-09 12:39:06| 85  14   1   0   0|1464M  194M  140M 5937M| 629k  628k|   0   592k|   0  37.0 |4925  9414 |1.47 1.23 0.82|5.0   0  16|   0     0 |   0     0 | 12   35    5   12    0
Sep 29 12:39:07 ubuntu dstat.sh[91998]: 29-09 12:39:07| 76  15   7   0   0|1283M  375M  141M 5937M| 479k  477k|   0   879k|   0   101 |4605  9690 |1.47 1.23 0.82|3.0   0 200|   0     0 |   0     0 | 12   33    5   13    0
Sep 29 12:39:08 ubuntu dstat.sh[91998]: 29-09 12:39:08| 48   9  43   0   0|1192M  466M  141M 5937M| 167k  165k|   0   380k|   0  35.0 |2427  4797 |1.51 1.24 0.83|3.0   0 106|   0     0 |   0     0 | 12   32    5   13    0
Sep 29 12:39:09 ubuntu dstat.sh[91998]: 29-09 12:39:09| 45   6  49   0   0|1251M  407M  141M 5937M| 100k   99k|   0   208k|   0  16.0 |1703  2723 |1.51 1.24 0.83|2.0   0 7.0|   0     0 |   0     0 | 12   33    5   13    0
Sep 29 12:39:10 ubuntu dstat.sh[91998]: 29-09 12:39:10| 45   6  49   0   0|1274M  384M  141M 5937M| 374k  373k|   0   252k|   0  17.0 |2306  6047 |1.51 1.24 0.83|2.0   0   0|   0     0 |   0     0 | 12   32    5   13    0
Sep 29 12:39:11 ubuntu dstat.sh[91998]: 29-09 12:39:11| 23  10  65   0   0|1153M  505M  141M 5937M| 152k  150k|   0   340k|   0  26.0 |2602  4639 |1.51 1.24 0.83|3.0   0 141|   0     0 |   0     0 | 12   32    5   13    0
Sep 29 12:39:12 ubuntu dstat.sh[91998]: 29-09 12:39:12| 23   3  73   0   0|1188M  469M  141M 5937M|3997  1944 |   0   152k|   0  8.00 |1073  1486 |1.51 1.24 0.83|2.0   0 3.0|   0     0 |   0     0 | 12   32    5   13    0
Sep 29 12:39:13 ubuntu dstat.sh[91998]: 29-09 12:39:13| 23   3  73   0   0|1212M  446M  141M 5937M|  91k   59k|   0   216k|   0  16.0 |1771  2012 |1.47 1.24 0.83|2.0   0   0|   0     0 |   0     0 | 12   33    5   14    0
Sep 29 12:39:14 ubuntu dstat.sh[91998]: 29-09 12:39:14| 20   8  70   0   0|1152M  506M  141M 5937M| 144k  142k|   0   844k|   0  60.0 |2733  4890 |1.47 1.24 0.83|2.0   0 132|   0     0 |   0     0 | 12   32    5   14    0
Sep 29 12:39:15 ubuntu dstat.sh[91998]: 29-09 12:39:15| 22  24  53   0   0|1147M  510M  141M 5938M|4951  3160 |   0   628k|   0  32.0 |3282  8259 |1.47 1.24 0.83|1.0   0 366|   0     0 |   0     0 | 12   32    5   15    0
Sep 29 12:39:16 ubuntu dstat.sh[91998]: 29-09 12:39:16| 38  32  28   0   0|1206M  452M  141M 5938M|3483  1730 |   0   589k|   0  43.1 |2530  4839 |1.47 1.24 0.83|5.0   0 610|   0     0 |   0     0 | 12   32    5   11    0
Sep 29 12:39:17 ubuntu dstat.sh[91998]: 29-09 12:39:17| 86  14   0   0   0|1346M  311M  141M 5938M|3287  2018 |   0  3360k|   0   166 |2216  3001 |1.47 1.24 0.83|6.0   0 135|   0     0 |   0     0 | 12   32    5   11    0
Sep 29 12:39:18 ubuntu dstat.sh[91998]: 29-09 12:39:18| 89  10   0   0   0|1453M  204M  141M 5938M| 359k  357k|   0   216k|   0  22.0 |2842  4914 |1.75 1.30 0.85|8.0   0   0|   0     0 |   0     0 | 12   35    5   12    0
Sep 29 12:39:19 ubuntu dstat.sh[91998]: 29-09 12:39:19| 60   9  30   0   0|1466M  191M  141M 5938M| 939k  935k|   0   316k|   0  28.0 |5582    13k|1.75 1.30 0.85|4.0   0   0|   0     0 |   0     0 | 12   37    5   14    0
Sep 29 12:39:20 ubuntu dstat.sh[91998]: 29-09 12:39:20| 60   8  32   0   0|1421M  236M  141M 5938M| 654k  653k|   0   336k|   0  34.0 |4608  9655 |1.75 1.30 0.85|7.0   0  19|   0     0 |   0     0 | 12   35    5   16    0
Sep 29 12:39:21 ubuntu dstat.sh[91998]: 29-09 12:39:21| 78  18   3   0   0|1307M  350M  141M 5938M| 548k  519k|   0  1478k|   0  31.0 |4641  9244 |1.75 1.30 0.85| 10   0 244|   0     0 |   0     0 | 12   32    5   16    0
Sep 29 12:39:22 ubuntu dstat.sh[91998]: 29-09 12:39:22| 88  12   0   0   0|1393M  263M  141M 5938M|  61k   52k|   0   128k|   0  6.00 |1995  2576 |1.75 1.30 0.85|7.0   0  49|   0     0 |   0     0 | 12   32    5   16    0
Sep 29 12:39:23 ubuntu dstat.sh[91998]: 29-09 12:39:23| 86  13   0   0   0|1429M  227M  141M 5938M| 587k  584k|   0   287k|   0  26.9 |3832  7485 |2.01 1.36 0.88|9.0   0  25|   0     0 |   0     0 | 12   34    5   16    0
Sep 29 12:39:24 ubuntu dstat.sh[91998]: 29-09 12:39:24| 85  13   1   0   0|1448M  208M  141M 5939M|1002k 1000k|   0   743k|   0  79.3 |5131    12k|2.01 1.36 0.88|7.0   0  76|   0     0 |   0     0 | 12   35    5   16    0
Sep 29 12:39:25 ubuntu dstat.sh[91998]: 29-09 12:39:25| 84  15   1   0   0|1358M  298M  141M 5939M| 838k  836k|   0   684k|   0  60.0 |4562    11k|2.01 1.36 0.88|7.0   0 123|   0     0 |   0     0 | 12   32    5   16    0
Sep 29 12:39:26 ubuntu dstat.sh[91998]: 29-09 12:39:26| 88  12   0   0   0|1419M  237M  141M 5939M| 476k  473k|   0  4705k|   0  89.0 |3246  6744 |2.01 1.36 0.88|7.0   0  69|   0     0 |   0     0 | 12   34    5   16    0
Sep 29 12:39:27 ubuntu dstat.sh[91998]: 29-09 12:39:27| 85  13   0   0   0|1447M  209M  141M 5939M| 528k  523k|   0   304k|   0  20.0 |3583  7309 |2.01 1.36 0.88|6.0   0  55|   0     0 |   0     0 | 12   35    5   16    0
Sep 29 12:39:28 ubuntu dstat.sh[91998]: 29-09 12:39:28| 75  20   4   0   0|1358M  296M  141M 5940M|1152k 1150k|   0   864k|   0  73.0 |5615    17k|2.09 1.39 0.89|8.0   0 421|   0     0 |   0     0 | 12   35    5   16    0
Sep 29 12:39:29 ubuntu dstat.sh[91998]: 29-09 12:39:29| 84  15   1   0   0|1335M  319M  141M 5940M| 693k  690k|   0   628k|   0  46.0 |3300  9866 |2.09 1.39 0.89|7.0   0 186|   0     0 |   0     0 | 12   32    5   16    0
Sep 29 12:39:30 ubuntu dstat.sh[91998]: 29-09 12:39:30| 84  14   1   0   0|1382M  272M  141M 5940M| 277k  276k|   0   280k|   0  14.0 |3159  5942 |2.09 1.39 0.89|6.0   0  91|   0     0 |   0     0 | 12   33    5   14    0
Sep 29 12:39:31 ubuntu dstat.sh[91998]: 29-09 12:39:31| 64   9  26   0   0|1394M  259M  141M 5941M| 992k  991k|   0   695k|   0  43.0 |6496    14k|2.09 1.39 0.89|6.0   0   0|   0     0 |   0     0 | 12   34    5   16    0
Sep 29 12:39:32 ubuntu dstat.sh[91998]: 29-09 12:39:32| 75  21   3   0   0|1297M  356M  142M 5941M| 517k  500k|   0   592k|   0  46.0 |3301  9077 |2.09 1.39 0.89|6.0   0 281|   0     0 |   0     0 | 12   33    5   16    0
Sep 29 12:39:33 ubuntu dstat.sh[91998]: 29-09 12:39:33| 89  12   0   0   0|1342M  311M  142M 5941M| 228k  209k|   0   240k|   0  17.0 |2585  4039 |2.32 1.45 0.91|6.0   0  39|   0     0 |   0     0 | 12   32    5   16    0
Sep 29 12:39:34 ubuntu dstat.sh[91998]: 29-09 12:39:34| 81  12   6   0   0|1345M  308M  142M 5941M| 843k  840k|   0   540k|   0  47.0 |4573    12k|2.32 1.45 0.91|4.0   0  80|   0     0 |   0     0 | 12   35    5   17    0
Sep 29 12:39:35 ubuntu dstat.sh[91998]: 29-09 12:39:35| 71  21   7   0   0|1292M  361M  142M 5941M| 721k  719k|   0   696k|   0  57.0 |4758    12k|2.32 1.45 0.91|6.0   0 290|   0     0 |   0     0 | 12   32    5   18    0
Sep 29 12:39:36 ubuntu dstat.sh[91998]: 29-09 12:39:36| 85  15   0   0   0|1379M  273M  142M 5941M|  56k   53k|   0   556k|   0  54.0 |1971  2308 |2.32 1.45 0.91|7.0   0  23|   0     0 |   0     0 | 12   32    5   18    0
Sep 29 12:39:37 ubuntu dstat.sh[91998]: 29-09 12:39:37| 85  11   4   0   0|1470M  182M  142M 5941M| 739k  737k|   0   477k|   0  43.0 |4559    10k|2.32 1.45 0.91|6.0   0   0|   0     0 |   0     0 | 12   35    5   18    0
Sep 29 12:39:38 ubuntu dstat.sh[91998]: 29-09 12:39:38| 71  22   5   0   0|1392M  260M  142M 5942M|1120k 1118k|   0   693k|   0  51.8 |5380    14k|2.70 1.54 0.94|6.0   0 294|   0     0 |   0     0 | 12   35    5   18    0
Sep 29 12:39:39 ubuntu dstat.sh[91998]: 29-09 12:39:39| 84  16   1   0   0|1304M  348M  142M 5942M| 409k  407k|   0   329k|   0  31.1 |3053  7169 |2.70 1.54 0.94|6.0   0 142|   0     0 |   0     0 | 12   32    5   18    0
Sep 29 12:39:40 ubuntu dstat.sh[91998]: 29-09 12:39:40| 83  14   2   0   0|1331M  321M  142M 5942M| 453k  450k|   0   444k|   0  40.0 |3761  7276 |2.70 1.54 0.94|7.0   0  86|   0     0 |   0     0 | 12   33    5   18    0
Sep 29 12:39:41 ubuntu dstat.sh[91998]: 29-09 12:39:41| 84  15   1   0   0|1369M  283M  142M 5942M| 670k  666k|   0   440k|   0  30.0 |3478  8580 |2.70 1.54 0.94|6.0   0 157|   0     0 |   0     0 | 12   34    5   18    0
Sep 29 12:39:42 ubuntu dstat.sh[91998]: 29-09 12:39:42| 84  14   1   0   0|1345M  306M  142M 5942M| 462k  461k|   0   416k|   0  39.0 |2998  6419 |2.70 1.54 0.94|7.0   0  95|   0     0 |   0     0 | 12   34    5   18    0
Sep 29 12:39:43 ubuntu dstat.sh[91998]: 29-09 12:39:43| 80  12   8   0   0|1279M  372M  142M 5942M| 728k  726k|   0   580k|   0  50.0 |4340    11k|2.80 1.58 0.96|5.0   0 109|   0     0 |   0     0 | 12   33    5   21    0
Sep 29 12:39:44 ubuntu dstat.sh[91998]: 29-09 12:39:44| 87   9   2   0   0|1337M  314M  142M 5942M| 452k  450k|   0   420k|   0  38.0 |2932  7217 |2.80 1.58 0.96|6.0   0  38|   0     0 |   0     0 | 12   33    5   21    0
Sep 29 12:39:45 ubuntu dstat.sh[91998]: 29-09 12:39:45| 78  12  10   0   0|1346M  305M  142M 5943M| 591k  589k|   0   435k|   0  35.9 |4283  8339 |2.80 1.58 0.96|6.0   0  72|   0     0 |   0     0 | 12   33    5   21    0
Sep 29 12:39:46 ubuntu dstat.sh[91998]: 29-09 12:39:46| 66  21  11   0   0|1200M  450M  142M 5943M| 558k  557k|   0   701k|   0  50.1 |4646  9873 |2.80 1.58 0.96|6.0   0 355|   0     0 |   0     0 | 12   32    5   21    0
Sep 29 12:39:47 ubuntu dstat.sh[91998]: 29-09 12:39:47| 83  17   0   0   0|1339M  312M  142M 5943M|  11k 1729 |   0   244k|   0  16.0 |2101  2845 |2.80 1.58 0.96|7.0   0 229|   0     0 |   0     0 | 12   32    5   21    0
Sep 29 12:39:48 ubuntu dstat.sh[91998]: 29-09 12:39:48| 85  15   0   0   0|1450M  200M  143M 5943M| 513k  489k|   0   482k|   0  31.9 |3633  8278 |3.14 1.68 0.99|7.0   0 157|   0     0 |   0     0 | 12   35    5   21    0
Sep 29 12:39:49 ubuntu dstat.sh[91998]: 29-09 12:39:49| 81  16   1   0   0|1446M  204M  143M 5943M|1103k 1100k|   0   585k|   0  39.1 |5410    15k|3.14 1.68 0.99|7.0   0 135|   0     0 |   0     0 | 12   35    5   21    0
Sep 29 12:39:50 ubuntu dstat.sh[91998]: 29-09 12:39:50| 83  17   1   0   0|1335M  315M  143M 5943M| 637k  635k|   0   460k|   0  29.0 |4022    10k|3.14 1.68 0.99|6.0   0 204|   0     0 |   0     0 | 12   33    5   21    0
Sep 29 12:39:51 ubuntu dstat.sh[91998]: 29-09 12:39:51| 85  14   0   0   0|1422M  228M  143M 5943M| 850k  844k|   0   468k|   0  31.0 |4404    12k|3.14 1.68 0.99|6.0   0 105|   0     0 |   0     0 | 12   33    5   20    0
Sep 29 12:39:52 ubuntu dstat.sh[91998]: 29-09 12:39:52| 84  15   1   0   0|1386M  263M  143M 5944M| 689k  683k|   0   773k|   0  50.0 |3414  9779 |3.14 1.68 0.99|8.0   0 145|   0     0 |   0     0 | 12   33    5   20    0
Sep 29 12:39:53 ubuntu dstat.sh[91998]: 29-09 12:39:53| 81  17   1   0   0|1339M  310M  143M 5944M| 696k  694k|   0   564k|   0  46.0 |4527    11k|3.61 1.80 1.04|6.0   0 156|   0     0 |   0     0 | 12   32    5   21    0
Sep 29 12:39:54 ubuntu dstat.sh[91998]: 29-09 12:39:54| 82  17   1   0   0|1395M  253M  143M 5944M| 370k  367k|   0   356k|   0  26.0 |3722  7364 |3.61 1.80 1.04|6.0   0 195|   0     0 |   0     0 | 12   33    5   21    0
Sep 29 12:39:55 ubuntu dstat.sh[91998]: 29-09 12:39:55| 83  15   1   0   0|1409M  239M  143M 5944M| 737k  734k|   0   640k|   0  57.0 |4283    11k|3.61 1.80 1.04|8.0   0 138|   0     0 |   0     0 | 12   33    5   19    0
Sep 29 12:39:56 ubuntu dstat.sh[91998]: 29-09 12:39:56| 85  14   1   0   0|1415M  233M  143M 5945M| 983k  977k|   0   636k|   0  42.0 |3969    13k|3.61 1.80 1.04|7.0   0 173|   0     0 |   0     0 | 12   34    5   20    0
Sep 29 12:39:57 ubuntu dstat.sh[91998]: 29-09 12:39:57| 71  23   5   0   0|1277M  371M  143M 5945M| 590k  587k|   0  7090k|   0   150 |3630  9702 |3.61 1.80 1.04|4.0   0 363|   0     0 |   0     0 | 12   33    5   19    0
Sep 29 12:39:58 ubuntu dstat.sh[91998]: 29-09 12:39:58| 47  16  37   0   0|1279M  369M  143M 5945M| 631k  630k|   0   471k|   0  28.0 |4553  9438 |3.64 1.83 1.05|2.0   0 142|   0     0 |   0     0 | 12   34    5   20    0
Sep 29 12:39:59 ubuntu dstat.sh[91998]: 29-09 12:39:59| 38  11  51   0   0|1216M  432M  143M 5945M| 391k  388k|   0   304k|   0  21.0 |3344  6491 |3.64 1.83 1.05|4.0   0 133|   0     0 |   0     0 | 12   32    5   20    0
Sep 29 12:40:00 ubuntu dstat.sh[91998]: 29-09 12:40:00| 14  21  65   0   0|1154M  493M  143M 5945M|5129  1728 |   0   148k|   0  12.0 |2573  3860 |3.64 1.83 1.05|2.0   0 355|   0     0 |   0     0 | 12   32    5   20    0
